char, precision, recall,F-measure
0,0.8,0.4,0.5333
1,0.7778,0.7,0.7368
2,0.6667,0.6,0.6316
3,1,1,1
4,1,1,1
5,0.6667,0.8,0.7273
6,0.75,0.8571,0.8
7,0.8889,0.8,0.8421
8,0.6923,0.9,0.7826
9,0.7778,0.7,0.7368
